is_imported_car,model,year,mileage,engine_capacity,fuel_type,engine_power,gearbox,transmission,bluetooth_interface,damaged,body_type,door_count,nr_seats,color,colour_type,radio,no_accident,navigation_system,soundsystem,air_conditioning_type,heated_seat_driver,heated_seat_passenger,power_windows_front,park_distance_control_rear,traction_control,fog_lamps,power_steering,esp,passenger_airbag,side_airbag_driver_and_passenger,new_used,version,generation,urban_consumption,park_distance_control_front,head_airbags_rear,sports_steering_wheel,price_amount
0,seria-5,2017,293000,1995.0,diesel,190.0,automatic,all-wheel-auto,0.0,0.0,combi,4.0,5.0,black,metallic,0,1.0,0,0,dualzone-automatic-climate-control,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,ver-518d,gen-f10-2009,4.7,0,0,0,67650.0
0,x6,2017,92365,2993.0,diesel,313.0,automatic,all-wheel-permanent,1.0,0.0,suv,5.0,5.0,white,pearl,1,0.0,1,1,dualzone-automatic-climate-control,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,ver-xdrive40d-m-sport,gen-f16-2014,9.0,1,0,1,174999.0
0,seria-7,2022,95200,2993.0,diesel,340.0,automatic,all-wheel-auto,0.0,0.0,sedan,4.0,5.0,grey,matt,0,1.0,1,1,dualzone-automatic-climate-control,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0,ver-740d-xdrive-sport,gen-g11-12-2015,6.0,1,1,1,399999.0
0,seria-3,2019,159330,1995.0,diesel,190.0,automatic,rear-wheel,1.0,0.0,combi,5.0,5.0,grey,metallic,1,1.0,0,0,trizone-automatic-climate-control,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,ver-320d-advantage,gen-f30-2012,5.0,1,1,1,72568.77
0,seria-1,2023,5000,1499.0,petrol,136.0,automatic,front-wheel,1.0,0.0,compact,5.0,5.0,black,metallic,0,1.0,0,0,automatic-climate-control,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1,ver-118i-m-sport,gen-f40-2019,8.0,1,1,1,134200.0
0,seria-7,2016,186000,2993.0,diesel,265.0,automatic,all-wheel-permanent,0.0,0.0,sedan,4.0,5.0,black,metallic,0,1.0,1,1,dualzone-automatic-climate-control,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0,ver-730d-xdrive,gen-g11-12-2015,6.0,1,1,1,139900.0
0,seria-7,2018,68200,2993.0,diesel,319.0,automatic,all-wheel-permanent,0.0,0.0,sedan,5.0,5.0,navy-blue,metallic,0,1.0,0,0,dualzone-automatic-climate-control,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,ver-740d-xdrive,gen-g11-12-2015,6.2,0,0,0,204180.0
0,seria-3,2020,51000,1995.0,diesel,190.0,automatic,rear-wheel,1.0,0.0,sedan,4.0,5.0,grey,metallic,1,1.0,1,1,trizone-automatic-climate-control,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,ver-320d-m-sport-sport,gen-g20-2019,5.2,1,0,1,148000.0
1,seria-5,2018,86691,1998.0,petrol,252.0,automatic,all-wheel-permanent,1.0,0.0,sedan,4.0,5.0,navy-blue,metallic,0,1.0,1,1,dualzone-automatic-climate-control,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0,ver-530i-xdrive,gen-g30-2017,7.0,1,0,1,159900.0
1,seria-4,2021,109000,1995.0,diesel,190.0,automatic,all-wheel-auto,1.0,0.0,coupe,2.0,4.0,blue,pearl,1,1.0,1,1,dualzone-automatic-climate-control,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,ver-420d-coupe-sport--aut-m-sport,gen-g22,5.1,1,1,1,174900.0
0,x4,2022,14000,1995.0,diesel,231.0,automatic,all-wheel-permanent,0.0,1.0,suv,5.0,5.0,other,metallic,0,0.0,0,0,trizone-automatic-climate-control,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0,ver-xdrive25d-advantage-sport,gen-g02-2018,5.0,0,0,1,105825.0
0,x2,2018,113669,1998.0,petrol,192.0,automatic,front-wheel,1.0,0.0,suv,5.0,5.0,orange,metallic,1,1.0,1,1,dualzone-automatic-climate-control,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0,ver-sdrive20i-gpf-m-sport-sport,gen-f39-2017-2023,6.0,0,1,1,97168.77
1,seria-3,2007,198000,2996.0,petrol,258.0,automatic,rear-wheel,0.0,0.0,cabrio,4.0,4.0,blue,metallic,0,0.0,0,0,automatic-climate-control,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,ver-318d,gen-e90-2005-2012,11.2,0,0,0,41000.0
1,x6,2010,250000,2993.0,diesel,306.0,automatic,all-wheel-permanent,0.0,0.0,suv,5.0,4.0,silver,metallic,1,1.0,0,0,automatic-climate-control,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0,ver-xdrive40d,gen-e71-2008-2014,8.8,0,1,1,69900.0
1,seria-3,2013,308000,1995.0,diesel,183.0,manual,all-wheel-auto,0.0,0.0,combi,5.0,5.0,grey,metallic,1,1.0,0,0,automatic-climate-control,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,ver-320d-xdrive,gen-f30-2012,6.0,0,0,0,36000.0
1,seria-3,2003,166000,1796.0,petrol,115.0,manual,rear-wheel,0.0,0.0,compact,3.0,5.0,navy-blue,metallic,1,1.0,0,0,automatic-climate-control,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,ver-316ti,gen-e46-1998-2007,9.0,0,0,0,6990.0
0,seria-6,2012,207770,2993.0,diesel,313.0,automatic,rear-wheel,1.0,0.0,sedan,4.0,5.0,black,pearl,1,1.0,1,1,automatic-climate-control,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0,ver-640d,gen-f12-13-2011,6.0,0,0,1,79900.0
1,seria-5,2018,181000,1995.0,diesel,190.0,automatic,all-wheel-permanent,1.0,0.0,sedan,4.0,5.0,grey,metallic,0,1.0,1,1,dualzone-automatic-climate-control,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0,ver-520d-xdrive,gen-g30-2017,5.0,1,0,1,110000.0
1,seria-5,2019,174680,1995.0,diesel,190.0,automatic,rear-wheel,1.0,0.0,combi,5.0,5.0,other,metallic,1,1.0,1,1,dualzone-automatic-climate-control,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,ver-520d-touring-luxury-line,gen-g30-2017,4.5,1,1,1,99999.0
1,seria-3,2014,230000,2000.0,diesel,184.0,automatic,all-wheel-permanent,1.0,0.0,combi,5.0,5.0,silver,metallic,1,1.0,1,0,dualzone-automatic-climate-control,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,ver-316d,gen-f30-2012,6.1,1,1,0,39999.0
1,seria-4,2015,131000,1998.0,petrol,184.0,automatic,rear-wheel,1.0,0.0,sedan,5.0,5.0,silver,metallic,1,0.0,1,1,dualzone-automatic-climate-control,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,ver-420i-gran-coupe-sport-line,gen-i-f32,7.7,0,1,0,69900.0
1,seria-3,2019,197832,1995.0,diesel,190.0,manual,rear-wheel,1.0,0.0,combi,5.0,5.0,grey,metallic,1,1.0,1,1,trizone-automatic-climate-control,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,ver-320d-advantage,gen-g20-2019,5.2,1,1,1,91500.0
1,seria-3,2016,91300,1998.0,petrol,184.0,automatic,all-wheel-permanent,1.0,0.0,sedan,4.0,5.0,navy-blue,metallic,1,1.0,1,0,automatic-climate-control,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,ver-318d,gen-f30-2012,7.8,0,0,0,57900.0
0,seria-1,2023,5000,1499.0,petrol,136.0,automatic,front-wheel,1.0,0.0,compact,5.0,5.0,black,metallic,1,1.0,1,0,automatic-climate-control,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1,ver-118i-sport-line,gen-f40-2019,6.8,1,1,1,126500.0
1,seria-5,2013,280000,1995.0,diesel,218.0,manual,rear-wheel,1.0,0.0,combi,5.0,5.0,navy-blue,metallic,1,1.0,1,0,automatic-climate-control,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,ver-525d-touring-luxury-line,gen-f10-2009,6.0,1,0,1,41900.0
1,x1,2017,149162,1998.0,petrol,231.0,automatic,all-wheel-permanent,1.0,0.0,suv,5.0,5.0,black,metallic,1,1.0,1,1,dualzone-automatic-climate-control,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,ver-sdrive18d,gen-f48-2015,9.6,0,1,1,72500.0
